Symbol	Trade Type	Entry DateTime	Exit DateTime	Entry Price	Exit Price	Trade Quantity	Max Open Quantity	Max Closed Quantity	Profit/Loss (C)	Cumulative Profit/Loss (C)	FlatToFlat Profit/Loss (C)	FlatToFlat Max Open Profit (C)	FlatToFlat Max Open Loss (C)	Max Open Profit (C)	Max Open Loss (C)	Entry Efficiency	Exit Efficiency	Total Efficiency	Commission (C)	High Price While Open	Low Price While Open	Note	Open Position Quantity	Close Position Quantity	Duration	Account
MNQH26_FUT_CME (1598A)	Short	2025-12-29  09:52:48.170 BP	2025-12-29  09:53:50.801 EP	25721.25	25731.00	1	1	1	-19.50	-19.50	-19.50 F	15.00	-19.50	15.00	-19.50	100.0%	0.0%	-56.5%	0.00	25731.00	25713.75		1	0	00:01:02	1598A
MNQH26_FUT_CME	Long	2025-12-29  09:55:02.633 BP	2025-12-29  09:55:25.333 EP	25737.50	25730.00	1	1	1	-15.00	-34.50	-15.00 F	14.00	-15.00	14.00	-15.00	100.0%	0.0%	-51.7%	0.00	25744.50	25730.00		1	0	00:00:22	1598A
MNQH26_FUT_CME	Long	2025-12-29  10:03:15.466 BP	2025-12-29  10:04:18.478 EP	25722.00	25715.25	1	1	1	-13.50	-48.00	-13.50 F	4.50	-22.00	4.50	-22.00	100.0%	32.1%	-50.9%	0.00	25724.25	25711.00		1	0	00:01:03	1598A
MNQH26_FUT_CME	Long	2025-12-29  10:05:10.817 BP	2025-12-29  10:06:09.850 EP	25716.25	25707.00	1	1	1	-18.50	-66.50	-18.50 F	11.50	-18.50	11.50	-18.50	100.0%	0.0%	-61.7%	0.00	25722.00	25707.00		1	0	00:00:59	1598A
MNQH26_FUT_CME	Short	2025-12-29  10:10:44.350 BP	2025-12-29  10:10:54.589 EP	25682.00	25689.75	1	1	1	-15.50	-82.00	-15.50 F	1.00	-15.50	1.00	-15.50	100.0%	0.0%	-93.9%	0.00	25689.75	25681.50		1	0	00:00:10	1598A
MNQH26_FUT_CME	Short	2025-12-29  10:11:28.662 BP	2025-12-29  10:12:01.541 EP	25679.00	25679.00	1	1	1	0.00	-82.00	0.00 F	22.50	-1.50	22.50	-1.50	100.0%	6.3%	0.0%	0.00	25679.75	25667.75		1	0	00:00:32	1598A
MNQH26_FUT_CME	Short	2025-12-29  10:12:08.053 BP	2025-12-29  10:12:47.000 EP	25669.75	25681.25	1	1	1	-23.00	-105.00	-23.00 F	2.50	-23.00	2.50	-23.00	100.0%	0.0%	-90.2%	0.00	25681.25	25668.50		1	0	00:00:38	1598A
MNQH26_FUT_CME	Short	2025-12-29  10:13:01.205 BP	2025-12-29  10:14:57.044 EP	25677.00	25677.25	1	1	1	-0.50	-105.50	-0.50 F	31.00	-6.50	31.00	-6.50	100.0%	16.0%	-1.3%	0.00	25680.25	25661.50		1	0	00:01:55	1598A
MNQH26_FUT_CME	Long	2025-12-29  10:20:44.814 BP	2025-12-29  10:31:32.297 EP	25709.50	25741.00	1	1	1	63.00	-42.50	63.00 F	85.00	-6.00	85.00	-6.00	100.0%	75.8%	69.2%	0.00	25752.00	25706.50		1	0	00:10:47	1598A
MNQH26_FUT_CME	Short	2025-12-30  14:17:18.671 BP	2025-12-30  14:18:58.484 EP	25735.50	25735.50	1	1	1	0.00	-42.50	0.00 F	11.00	-4.00	11.00	-4.00	100.0%	26.7%	0.0%	0.00	25737.50	25730.00		1	0	00:01:39	1598A
